,SAS Contact,TA,Last Update, Interview Target,Investigate,Entity Name,Stakeholder Category,Stakeholder Group,Development Stage,Product Group,Products 1,Products 2,Products 3,Products 4,Products 5,Stakeholder Description,Stakeholder Public/Private,ID (Ticker or D&B ID),NAICS,Website,Headquarters City,Headquarters State,Headquarters Country,Phone Number,Email,Stakeholder Contact,Principal (CEO),Year Founded,Number of Employees,Parent Company,On Market,Product Name,SKU/ID,Notes,Product Category (OLD),Product Group (OLD)
,,,8/6/22,,,PotLuck Expo,Processing & Manufacturing,Wholesale,Markets,Oil,Adhensive,,,,,Locally assist Cannabis patients by producing networking events,,,,https://potluckexpo.com/,San Diego,CA,USA,,,,,,,,Y,HEMP CBD CBC SKIN ADHESIVE PATCH,,,Adhensive,Oil
,,,8/6/22,,,Procana,Processing & Manufacturing,Retail,Products,Extracting,Pharmaceutical,Personal Care,,,,Been on the forefront of cannabinoid research and development,,,,https://procana.com/,Miramar,FL,USA,844-776-2262,admin@procana.com,,,2012,,,Y,Hemp Complete,,,Pharmaceutical,Extracting
,,,8/6/22,,,R&W Rope,Distribution,Transporters,Markets,Bast Fiber,Cordage,,,,,premier distributor for ropes and rope products,,,,https://rwrope.com/,New Bedford,MA,USA,508-995-1114,https://rwrope.com/pages/contact-us,,,1985,,,Y,"Hemp Rope, Polished Hemp Rope, Tarred Marline, Hemp Seaming Twine",,,Cordage,Bast Fiber
,,,8/6/22,,,Raw Generation,Processing & Manufacturing,Retail,Markets,Post Extract,Juice,,,,,"Delivering the highest quality cleanses, juices, smoothies, and snacks",,,,https://www.rawgeneration.com/,,,USA,732-305-2870,support@rawgeneration.com,,Bill and Jess,2012,,,Y,"LOWER SUGAR* JUICE CLEANSE, PROTEIN CLEANSE, CACAO HEMP, SUPERFOOD CLEANSE®",,,Juice,Post Extract
,,,8/6/22,,,RAWGANIQUE,Processing & Manufacturing,Retail,Products,Bast Fiber,Carpeting,,,,,"Make organic cotton, linen & hemp products from start to finish",,,,https://rawganique.com/,Blaine,WA,USA,360-990-5077,info@rawganique.com,,,1997,,,Y,Homestead Organic Hand-Woven Hemp Rug,,,Carpeting,Bast Fiber
,,,8/6/22,,,Real Milk Paint,Processing & Manufacturing,Retail,Products,Oil,Paint,,,,,,,,,https://www.realmilkpaint.com/,Hohenwald,TN,USA,800-339-9748,hello@realmilkpaint.com,,Dwayne Siever,1995,,,Y,Hemp Oil,HO,,Paint,Oil
,,,7/25/22,,,Shibari,,,,Bast Fiber,Cordage,,,,,one of our specialties is made-to-order-rugs,,,,https://www.sisalrugs.com/,Excelsior,MN,USA,,sales@sisalrugs.com,,,1990,,,Y,Natural Hemp Bondage Rope,,,Cordage,Bast Fiber
,,,7/25/22,,,Sisal Rugs Direct,Processing & Manufacturing,Retail,Products,Bast Fiber,Carpeting,,,,,,,,,,,,,,,,,,,,Y,Hemp Grass Rug Collection,,,Carpeting,Bast Fiber
,,,7/25/22,,,Sojade,Processing & Manufacturing,Retail,Products,Post-extract,Dairy,Plant-based Protein,Food,,,offers over 40 different soya- rice and hemp based French made products,,,,https://www.sojade.co.uk/,,,France,33 2 99 38 09 23,,,,1951,,,Y,Natural Hemp,,,Dairy,
,,,7/25/22,,,St Astier Distributor,Distribution,Wholesale,Markets,Hurds,Mortar,,,,,"safe, natural, green building finish product",,,,https://limes.us/,Petaluma,CA,USA,707-769-0661,,,,1851,,,Y,Hemp Mortar,,,Mortar,Hurds
,,,7/25/22,,,Sun Warrior,Processing & Manufacturing,Retail,Products,Post Extract,Supplement,,,,,clean health and great taste,,,,https://sunwarrior.com/,Washington,UT,USA,855-580-5304,support@sunwarrior.com,,,,,,Y,Organic Hemp Protein,,,Supplement,Post Extract
,,,7/25/22,,,terrafibre,Processing & Manufacturing,Retail,Products,Hurds,Absorbent bedding,,,,,made from 100% industrial hemp fibres,,,,https://terrafibre.ca/,Drayton,Alberta,Canada,1-780-621-0000,info@biocompositesgroup.com,,,,,,Y,Hemp HURD Small Pet Bedding,,,Absorbent bedding,Hurds
,,,7/25/22,,,The Futon Shop,Processing & Manufacturing,Retail,Products,Hurds,Absorbent bedding,,,,,creation of chemical free and natural furniture,,,,https://www.thefutonshop.com/,,,,1-800-44-FUTON,info@thefutonshop.com,,Suzanne Diamond,1976,,,Y,HeartNest Natural Hemp Mattress,HEARTNEST,,Absorbent bedding,Hurds
,,,8/4/22,,,The Hemp Plastic Company,Processing & Manufacturing,,,Hurds,Plastics,,,,,"Helping our customers reduce fossil fuel plastic and carbon emissions quickly, easily, and affordably",,,,https://hempplastic.com/,Boulder,CO,USA,720-548-6325,info@hempplastic.com,https://hempplastic.com/contact/,Glen Kayll,,,,Y,Hemp Plastic,,,Plastics,Hurds
,,,8/4/22,,,True Nutrition,Processing & Manufacturing,,,Post Extract,Supplement,,,,,,,,,https://truenutrition.com/,,,USA,,,https://truenutrition.com/contact.aspx,,,,,Y,"Hemp Protein Powder Unfavored, Hemp Protein Powder Caramel Macchiato,  Hemp Protein Powder Swole Whipd, Hemp Protein Powder Chocolate Fudge Brownie, Hemp Protein Powder French Vanila, Hemp Protein Powder Cookies N Cream, Hemp Protein Powder Salted Caramel, Hemp Protein Powder Strawberry Sorbet, Hemp Protein Powder Chocolate Covered Strawberry, Hemp Protein Powder Gingerbread Cookies, Hemp Protein Powder Toasted Coconut, Hemp Protein Powder Chocolate Thin Mint",,,Supplement,Post Extract
,,,8/3/22,,,Wilderness Poets,Processing & Manufacturing,Product Manufacturers,Products,Post Extract,"Nutrition, Dairy, Supplement",,,,,,,,,https://wildernesspoets.com/products/hemp-protein-powder,Ashland,OR,USA,844-945-3649,info@wildernesspoets.com,,,2006,,,Y,"Hemp Seed, Hemp Protein Powder, Hemp Seed Butter",,,"Nutrition, Dairy, Supplement",Post Extract
,,,8/3/22,,,YourSuper.Com,Processing & Manufacturing,Retail,Products,Post Extract,Supplement,,,,,your super mixes contain 5-6 naturally dried superfoods,,,,https://yoursuper.com/,Santa Monica,CA,USA,,happy@yoursuper.com,https://support.yoursuper.com/en_us/categories/contact-us-rJoIDqFLF,Michael Kuech,,,,Y,Skinny Protein,,,Supplement,Post Extract
,,,8/3/22,,,GlobalCBD,Processing & Manufacturing,Wholesale,Markets,Oil,Adhensive,,,,,,,,,https://globalcbd.com/,,,,208-340-9414,orders@globalcbd.com,https://globalcbd.com/CONTACT-US_ep_40.html,,,,,Y,Adhesive Compression Bandage Wrap,,,Adhensive,Oil
,,,8/3/22,,,LuLu Nutrition,Processing & Manufacturing,,,Oil,Personal Care Products,,,,,,,,,https://www.instagram.com/lulus.nutrition/?hl=en,North Brunswick,NJ,USA,732-322-3132,,,Lucero Aquino,2020,,,Y,Hemp Face Cream,,,Personal Care Products,Oil
,,,8/3/22,,,O Natural,Processing & Manufacturing,Product Manufacturers,Products,Oil,Personal Care Products,,,,,"Expanded our range of products to include juices, protein shakes, and salads",,,,https://osnaturalfood.com/#section-3,Brooklyn,NY,USA,718-388-2202,,https://osnaturalfood.com/#section-4,,,,,Y,Moisturing Day Cream,,,Personal Care Products,Oil
,,,8/3/22,,,Dubhe Imperial Black,Processing & Manufacturing,Product Manufacturers,Products,Drink,Beer,,,,,,,,,,,,,,,,,,,,Not sure,Unita,,,Beer,Drink
,,,7/27/22,Y,,Hemp Fiber Production Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,,,8/8/22,,Y,Hemp Acres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,,,8/9/22,,,International Hemp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,,,8/10/22,,,Queen of Hearts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,,,8/11/22,,,Biocomposites Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,,,8/12/22,,,Canadian Industrial Hemp Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,,,8/13/22,,,Canadian Rockies Hemp Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,Dr. Karl Haapala,,8/14/22,,,Lazarus Naturals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,,,8/15/22,,,Victory Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,,,8/16/22,,,Replant Hemp Advisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,Dr. Karl Haapala,Y,9/19/22,,,IND Hemp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,Dr. Karl Haapala,,09/21/2022,,,Frogsong Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,Dr. Karl Haapala,,09/21/2022,,,FSOil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,Dr. Karl Haapala,,09/21/2022,,,Flex Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,Dr. Karl Haapala,,09/21/2022,,,DK Fab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,Dr. Karl Haapala,,09/21/2022,,,Phylos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,Dr. Karl Haapala,,09/21/2022,,,WSDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,Dr. Karl Haapala,,09/21/2022,,,Klersun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,Dr. Karl Haapala,,09/21/2022,,,Materevolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,Dr. Karl Haapala,,09/21/2022,,,Torresak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,Dr. Karl Haapala,,09/21/2022,,,Forest Concepts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,Dr. Karl Haapala,,09/21/2022,,,Selkirk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,Dr. Karl Haapala,,09/21/2022,,,Grant County ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,,,10/12/2022,,,Canadian Rockies Hemp Corporation,Processing & Manufacturing,Materials processors,Manufacturer,Primary (Line),Processed hemp fiber,,,,,"Canadian Rockies Hemp Corp. (CRHC) is an agribusiness, operating in Bruderheim, Alberta, Canada. (40 mins NE of Edmonton). CRHC provides a sustainable and consistent commercial supply of processed hemp biomaterials to manufacturing facilities globally.",Private,,"11,111",https://www.canadianrockieshemp.com/our-story,,AB,Canada,(833) 422-4367,info@canadianrockieshemp.com,https://www.linkedin.com/in/aaron-barr-b325a779/?originalSubdomain=ca,Aaron Barr ,2016,<60,,Y,"Decorticated ""Short"" Fiber,Decorticated ""Long"" Fiber,Degummed / Cottonized Fiber,Hurd / Shiv,Screenings / Pelleting",N/A,,Beer,Drink
,,,10/12/2022,,,Montana Department of Commerce,"Financial, Regulatory, and Government Services",Financial/Investment,Markets,NA,,,,,,"The Montana Department of Commerce works with statewide and local partners, private industry, and small businesses to enhance and sustain economic prosperity in Montana. The Department works to improve the state's economy through business creation, expansion, retention, and diversification of the state's economic base; provides direct technical assistance, grants and loans for Montana's entrepreneurs, businesses and their employees; strengthens the economy through the promotion of tourism development, promoting and protecting historic sites, and marketing Montana as a travel and filmmaking destination; promotes access to new markets, both foreign and domestic, for Montana goods and services; provides financing for homeownership and rental assistance opportunities for Montana families; and develops and improves public infrastructure and housing for Montana citizens by providing grants and technical assistance to Montana communities and counties.",Private,,,https://commerce.mt.gov/,Helena,MT,USA,(406) 841-2700,,841-2745,Scott Osterman,N/A,<60,,Y,N/A,N/A,,Beer,Drink
,,,10/12/2022,,,lancaster farming industrial hemp podcast,NA,NA,NA,NA,,,,,,"Exploring The Mindset of a Regenerative Farmer
In this episode of the Industrial Hemp Podcast, we embark on our journey of discovery into regenerative agriculture – what it is, what makes it different from conventional agriculture, and why it's important.",Private,,,https://www.lancasterfarming.com/farming-news/hemp/podcast/,Ephrata,WA,USA,717-394-3047,jbucks@lancasterfarming.com,717-291-8750,Justin Bucks,,,,Y,N/A,N/A,,Beer,Drink
,,,10/12/2022,,,lazarus naturals,Processing & Manufacturing,Product Manufacturers,Products,Post-extract,Food,Personal Care,Nutraceuticals,Fabric,Plant-based Protein,"In 2014, Sequoia Price-Lazarus and a small but dedicated team—including Evan Skandalis (VP of Farm Operations), Dylan Summers (VP of Government Affairs) and Ian Tudor (Crystallization Specialist)—set out to try making affordable healthcare and natural medicine more accessible to all by crafting CBD products that were effective and affordable, so everyone could experience its benefits. To ensure quality, potency and consistency, they imagined a “farm-to-front-door” model of transparency—where the company handled each step of the process. We started out selling handcrafted products at local farmers markets, and have now become an established leader in the industry.",Private,,"21,211",https://www.lazarusnaturals.com/about,Portland,OR,USA,(206) 909-3354,support@lazarusnaturals.com,https://www.linkedin.com/company/lazarusnaturals/,Sequoia Price-Lazarus,2014,121,,Y,"Full Spectrum CBD COCONUT OIL,Full Spectrum CBD CHOCOLATE BAR,Full Spectrum IMMUNITY CBD GUMMIES,Full Spectrum, High Potency CBD OIL TINCTURE",N/A,,Beer,Drink
,,,10/12/2022,,,foundation for food agriculture research,Farming & Allied Services,Farmers in hub cohorts,NA,NA,,,,,,"The Foundation for Food & Agriculture Research (FFAR) builds public-private partnerships to fund bold research addressing big food and agriculture challenges. FFAR was established in the 2014 Farm Bill to increase public agriculture research investments, fill knowledge gaps and complement USDA's research agenda",Private,,541715,https://foundationfar.org/what-we-do/,N/A,WA,USA,202-624-0700, communications@foundationfar.org,,"Sally Rockey, Ph. D.",2014,N/A,,Y,N/A,N/A,,Beer,Drink
,,,10/12/2022,,,whitney economics llc,"Financial, Regulatory, and Government Services",Extension and private consultants,NA,,,,,,,"We are a global business and economic consulting firm with the mission to provide data, insights and recommendations, using sound analytic principles, that will help increase the value, effectiveness and influence of our clients.",,,"54,541",https://whitneyeconomics.com/about,Portland,OR,USA,(503) 774-5760,,https://www.linkedin.com/in/beauwhitney/,Beau Whitney,2014,1,,Y,N/A,N/A,,Beer,Drink
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer,Drink
